,name,ticker,exchange,sector,industry,long_business_summary,country,website,price,marketcap,dividends,ex_dividend_date,fiftytwo_week_high,fiftytwo_week_low,fifty_day_avgerage,recommendation,total_cash_per_share,profit_margins,volume,dividend_yield,yahoo_ticker
665,"CoreCivic, Inc.",CXW,NYQ,Real Estate,REIT—Specialty,"CoreCivic, Inc. owns and operates partnership correctional, detention, and residential reentry facilities in the United States. It operates through three segments: CoreCivic Safety, CoreCivic Community, and CoreCivic Properties. The company provides a range of solutions to government partners that serve the public good through corrections and detention management, a network of residential reentry centers to help address America's recidivism crisis, and government real estate solutions. Its correctional, detention, and residential reentry facilities offer rehabilitation and educational programs, including basic education, faith-based services, life skills and employment training, and substance abuse treatment. As of December 31, 2020, the company owned and operated 47 correctional and detention facilities, 27 residential reentry centers, and 15 properties for lease. The company was founded in 1983 and is based in Brentwood, Tennessee.",United States,https://www.corecivic.com,9.32,1121056128.0,0.0,2020-03-31 02:00:00,12.35,6.88,9.756,buy,3.787,-0.05726,295218.0,0.0,CXW
666,China Yuchai International Limi,CYD,NYQ,Industrials,Specialty Industrial Machinery,"China Yuchai International Limited, through its subsidiaries, manufactures, assembles, and sells diesel and natural gas engines in the People's Republic of China and internationally. It operates in two segments, Yuchai and HLGE. The company provides diesel engines comprising 4- and 6-cylinder diesel engines, high horsepower marine diesel engines, and power generator engines, as well as natural gas engines, diesel power generators, diesel engine parts, and remanufacturing services for light trucks, medium and heavy-duty trucks, buses and passenger vehicles, and marine and industrial applications; and generator sets, as well as plug in hybrid engines, range extenders, power generation powertrains, hybrid powertrains, integrated electric drive axel powertrains, and fuel cell systems. It also manufactures diesel engines for construction and agriculture applications, as well as supplies after-market parts and services. In addition, it engages in hospitality and property development activities. Further, the company designs, produces, and sells exhaust emission control systems. The company distributes its engines directly to auto original equipment manufacturers, agents, and retailers, as well as provides maintenance and retrofitting services. It has a strategic partnership with Sunlong Bus to develop electric vehicles. The company was founded in 1951 and is based in Singapore.",Singapore,https://www.cyilimited.com,11.38,464967456.0,1.7,2021-06-28 02:00:00,19.59,10.57,13.237,buy,0.0,0.021370001,26184.0,0.1493848857644991,CYD
667,"Community Health Systems, Inc.",CYH,NYQ,Healthcare,Medical Care Facilities,"Community Health Systems, Inc. owns, leases, and operates general acute care hospitals in the United States. It offers general acute care, emergency room, general and specialty surgery, critical care, internal medicine, obstetrics, diagnostic, psychiatric, and rehabilitation services, as well as skilled nursing and home care services. The company also provides outpatient services at primary care practices, urgent care centers, free-standing emergency departments, ambulatory surgery centers, imaging and diagnostic centers, retail clinics, and via direct-to-consumer virtual health visits. As of December 31, 2020, it owned or leased 89 hospitals, including 87 general acute care hospitals and two stand-alone rehabilitation or psychiatric hospitals with an aggregate of 14,110 licensed beds. The company was founded in 1985 and is headquartered in Franklin, Tennessee.",United States,https://www.chs.net,11.39,1504710144.0,0.0,2012-12-13 01:00:00,17.04,9.22,12.256,buy,10.177,0.02962,430372.0,0.0,CYH
668,Cazoo Group Ltd,CZOO,NYQ,Technology,Software—Application,"Cazoo Group Ltd operates as an online car retailer in the United Kingdom and Europe. The company was founded in 2018 and is headquartered in London, the United Kingdom. Cazoo Group Ltd operates as a subsidiary of Cazoo Holdings Limited.",United Kingdom,https://www.cazoo.co.uk,2.34,1760038016.0,0.0,nan,10.82,2.19,4.0906,strong_buy,0.393,-0.46976003,3672682.0,0.0,CZOO
669,"Dominion Energy, Inc.",D,NYQ,Utilities,Utilities—Regulated Electric,"Dominion Energy, Inc. produces and distributes energy. The company operates through four segments: Dominion Energy Virginia, Gas Distribution, Dominion Energy South Carolina, and Contracted Assets. The Dominion Energy Virginia segment generates, transmits, and distributes regulated electricity to residential, commercial, industrial, and governmental customers in Virginia and North Carolina. The Gas Distribution segment engages in the regulated natural gas gathering, transportation, distribution, and sales activities, as well as distributes nonregulated renewable natural gas. This segment serves residential, commercial, and industrial customers. The Dominion Energy South Carolina segment generates, transmits, and distributes electricity and natural gas to residential, commercial, and industrial customers in South Carolina. The Contracted Assets segment is involved in the energy marketing and price risk activities. As of December 31, 2020, the company's portfolio of assets included approximately 30.2 gigawatt of electric generating capacity; 10,500 miles of electric transmission lines; 85,600 miles of electric distribution lines; and 94,200 miles of gas distribution lines. It serves approximately 7 million customers. The company sells electricity at wholesale prices to rural electric cooperatives and municipalities, as well as into wholesale electricity markets. The company was formerly known as Dominion Resources, Inc. and changed its name to Dominion Energy, Inc. in May 2017. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia.",United States,https://www.dominionenergy.com,80.32,65051807744.0,2.52,2021-12-02 01:00:00,84.13,70.37,79.6764,buy,0.222,0.19323999,2365192.0,0.03137450199203187,D
670,Danaos Corporation,DAC,NYQ,Industrials,Marine Shipping,"Danaos Corporation, together with its subsidiaries, owns and operates containerships in Australia, Asia, Europe, and the United States. The company offers seaborne transportation services, such as chartering its vessels to liner companies. As of February 28, 2021, it had a fleet of 65 containerships aggregating 403,793 twenty foot equivalent units in capacity. The company was formerly known as Danaos Holdings Limited and changed its name to Danaos Corporation in October 2005. Danaos Corporation was founded in 1972 and is based in Piraeus, Greece.",Greece,https://www.danaos.com,103.8542,2139053824.0,3.0,2022-02-16 01:00:00,104.92,44.26,87.7852,buy,6.367,1.5269501,648158.0,0.028886650708396962,DAC
671,"Delta Air Lines, Inc.",DAL,NYQ,Industrials,Airlines,"Delta Air Lines, Inc. provides scheduled air transportation for passengers and cargo in the United States and internationally. The company operates through two segments, Airline and Refinery. Its domestic network centered on core hubs in Atlanta, Minneapolis-St. Paul, Detroit, and Salt Lake City, as well as coastal hub positions in Boston, Los Angeles, New York-LaGuardia, New York-JFK, and Seattle; and international network centered on hubs and market presence in Amsterdam, London-Heathrow, Mexico City, Paris-Charles de Gaulle, and Seoul-Incheon. The company sells its tickets through various distribution channels, including delta.com and the Fly Delta app, reservations, online travel agencies, traditional brick and mortar, and other agencies. It also provides aircraft maintenance, repair, and overhaul services; and vacation packages to third-party consumers, as well as aircraft charters, and management and programs. The company operates through a fleet of approximately 1,100 aircraft. Delta Air Lines, Inc. was founded in 1924 and is based in Atlanta, Georgia.",United States,https://www.delta.com,36.1707,23149754368.0,0.0,2020-02-19 01:00:00,51.82,29.75,39.2266,buy,20.699,-0.00275,14106396.0,0.0,DAL
672,Dana Incorporated,DAN,NYQ,Consumer Cyclical,Auto Parts,"Dana Incorporated provides power-conveyance and energy-management solutions for vehicles and machinery in North America, Europe, South America, and the Asia Pacific. It offers sealing solutions, thermal-management technologies, and digital solutions to vehicle and engine manufacturers. The company operates in four segments: Light Vehicle Drive Systems, Commercial Vehicle Drive and Motion Systems, Off-Highway Drive and Motion Systems, and Power Technologies. The Light Vehicle Drive Systems segment offers front drive steer rigid axles, rear drive rigid axles, driveshafts/propshafts, front/rear drive units, AWD systems, power transfer units, electromechanical propulsion systems, EV gearboxes, and differentials for use in light trucks, sport utility vehicles, crossover utility vehicles, vans, and passenger cars. The Commercial Vehicle Drive and Motion Systems segment provides steer and drive axles, driveshafts, tire inflation systems, high and low voltage motors and inverters, vehicle integration services, and connected software solutions for medium and heavy duty trucks, buses, and specialty vehicles. The Off-Highway Drive and Motion Systems segment manufactures front and rear axles; driveshafts; transmissions; torque converters; wheel, track, and winch planetary drives; industrial gear boxes; custom gears and shifting solutions; tire inflation systems; electronic controls; hydraulic valves, pumps and motors; and EV motors and inverter for use in construction, earth moving, agricultural, mining, forestry, material handling, and industrial stationary applications. The Power Technologies segment offers gaskets, cover modules, heat shields, engine sealing systems, cooling products, and heat transfer products for light vehicle, medium/heavy vehicle, and off-highway markets. The company was formerly known as Dana Holding Corporation and changed its name to Dana Incorporated in August 2016. Dana Incorporated was founded in 1904 and is headquartered in Maumee, Ohio.",United States,https://www.dana.com,17.77,2563038208.0,0.4,2021-11-04 01:00:00,28.44,14.59,21.0934,buy,1.65,0.02414,748354.0,0.022509848058525607,DAN
673,"Youdao, Inc.",DAO,NYQ,Communication Services,Internet Content & Information,"Youdao, Inc., an internet technology company, provides online services in content, community, communication, and commerce in China. The company provides various learning content, applications, and solutions, which covers topics and targets people from various age groups for their learning needs through its websites and mobile applications; Youdao Dictionary with range of products and services addressing lifelong learning needs of pre-school, K-12 and college students as well as adult learners; and other online dictionary and translation tools comprising Youdao Translation, U-Dictionary, and Youdao Kids' Dictionary. It also offers smart devices, such as Youdao Smart Pen, Youdao Dictionary Pen, Youdao Pocket Translator, Youdao Cloud Pen, and Youdao Super Dictionary. In addition, the company provides online courses comprising Youdao Premium Courses, NetEase Cloud Classroom, and China University MOOC; interactive learning apps, such as Youdao Fun Reading, Youdao Math, and Youdao Vocabulary Builder catering to various age groups' learning needs; and enterprise services, which include technologies and solutions licensed to enterprise customers through Youdao Smart Cloud. It offers learning services and products primarily include online courses, fee-based premium services, and others, as well as online marketing services; technical support to the VIEs; and consulting services. Youdao, Inc. was founded in 2006 and is headquartered in Hangzhou, China. Youdao, Inc. is a subsidiary of NetEase, Inc.",China,https://www.youdao.com,8.65,1089631744.0,0.0,nan,34.17,5.46,12.0778,hold,7.363,-0.27827,526717.0,0.0,DAO
674,Darling Ingredients Inc.,DAR,NYQ,Consumer Defensive,Packaged Foods,"Darling Ingredients Inc. develops, produces, and sells natural ingredients from edible and inedible bio-nutrients. The company operates through three segments: Feed Ingredients, Food Ingredients, and Fuel Ingredients. It offers ingredients and customized specialty solutions for customers in the pharmaceutical, food, pet food, feed, industrial, fuel, bioenergy, and fertilizer industries. The company collects and transforms various animal by-product streams into useable and specialty ingredients, such as collagen, edible fats, feed-grade fats, animal proteins and meals, plasma, pet food ingredients, organic fertilizers, yellow grease, fuel feedstock, green energy, natural casings, and hides. It also recovers and converts used cooking oil and animal fats, and residual bakery products into valuable feed and fuel ingredients. In addition, the company provides environmental services, including grease trap collection and disposal services to food service establishments. It primarily operates under the Sonac, Dar Pro, Rothsay, Rousselot, CTH, Ecoson, and Rendac brand names in North America, Europe, China, South America, Australia, and internationally. The company was formerly known as Darling International Inc. and changed its name to Darling Ingredients Inc. in May 2014. Darling Ingredients Inc. was founded in 1882 and is headquartered in Irving, Texas.",United States,https://www.darlingii.com,72.985,11809556480.0,0.0,nan,85.98,58.7,67.5694,buy,0.415,0.121300004,472630.0,0.0,DAR
675,"DoorDash, Inc.",DASH,NYQ,Communication Services,Internet Content & Information,"DoorDash, Inc. operates a logistics platform that connects merchants, consumers, and dashers in the United States and internationally. It operates DoorDash marketplace, which provides an array of services that enable merchants to solve mission-critical challenges, such as customer acquisition, delivery, insights and analytics, merchandising, payment processing, and customer support; and offers DoorDash Drive, a white-label logistics service; DoorDash Storefront that enables merchants to offer consumers on-demand access to e-commerce. The company was formerly known as Palo Alto Delivery Inc. and changed its name to DoorDash, Inc. in 2015. DoorDash, Inc. was founded in 2013 and is headquartered in San Francisco, California.",United States,https://www.doordash.com,88.05,30206785536.0,0.0,nan,257.25,74.32,107.7106,buy,12.126,-0.13712,3334775.0,0.0,DASH
676,Endava plc,DAVA,NYQ,Technology,Software—Infrastructure,"Endava plc provides technology services for clients in the consumer products, healthcare, mobility, and retail verticals in Europe, Latin America, North America, and internationally. The company offers technology and digital advisory services for payments and financial services, and TMT sectors; IT strategies; business analysis services; program management services; digital product strategy services; and architecture, extended reality, machine learning and artificial intelligence, product design, and user experience and visual design services. It also engages in the identifying, defining, and embedding collaborative data and analytics; and provision of automated testing, cloud native software engineering, continuous delivery, distributed agile delivery, intelligent automation, secure development, agile applications management, cloud infrastructure, DevSecOps, service delivery, smart desk, and telemetry and monitoring services. The company was founded in 2000 and is headquartered in London, the United Kingdom.",United Kingdom,https://www.endava.com,120.945,7455364096.0,0.0,nan,172.41,79.21,124.7156,buy,1.474,0.114870004,150879.0,0.0,DAVA
677,Deutsche Bank AG,DB,NYQ,Financial Services,Banks—Regional,"Deutsche Bank Aktiengesellschaft provides investment, financial, and related products and services to private individuals, corporate entities, and institutional clients worldwide. Its Corporate Bank segment provides cash management, trade finance and lending, trust and agency, and securities services, as well as risk management solutions. The Company's Investment Bank segment offers merger and acquisitions, and equity advisory services. This segment also focuses on financing, advisory, fixed income, and currencies. Its Private Bank segment provides payment and account services, and credit and deposit products, as well as investment advice, social and governance products, and digital offerings. This segment also provides wealth management, and postal and parcel services. The Company's Asset Management segment provides investment solutions, such as alternative investments, which include real estate, infrastructure, private equity, liquid real assets, and sustainable investments; passive investments; and various services, including insurance and pension solutions, asset liability management, portfolio management solutions, asset allocation advisory, structuring, and overlay to institutions, governments, corporations and foundations, and individual investors. As of December 31, 2020, it operated 1,891 branches in Germany and internationally. The company was founded in 1870 and is headquartered in Frankfurt am Main, Germany.",Germany,https://www.db.com,12.01,25160951808.0,0.22,2022-05-20 02:00:00,16.7,9.46,13.4494,none,291.667,0.09498999,7846679.0,0.018318068276436304,DB
678,Diebold Nixdorf Incorporated,DBD,NYQ,Technology,Software—Application,"Diebold Nixdorf, Incorporated provides connected commerce solutions to financial institutions and retailers in Western Europe, Eastern Europe, Asia, the Middle East, Africa, the United States, Canada, Mexico, and Latin America. The company operates through Eurasia Banking, Americas Banking, and Retail segments. It offers cash recyclers and dispensers, intelligent deposit terminals, teller automation tools, and kiosk technologies, as well as physical security solutions; and front-end applications for consumer connection points and back-end platforms that manage channel transactions, operations and integration and facilitate omnichannel transactions, endpoint monitoring, remote asset management, customer marketing, merchandise management, and analytics. It also provides banking product-related services comprising proactive monitoring and rapid resolution of incidents through remote service capabilities or an on-site visit; first and second line maintenance, and preventive maintenance and on-demand services; managed and outsourcing services, such as business processes, solution management, upgrades and transaction processing; and cash management services. In addition, the company offers DN Vynamic software suite; mobile point of sale and self-checkout terminals; printers, scales, and mobile scanners; and banknote and coin processing systems. Additionally, it provides retail customer's product-related services, such as on-demand and professional services; maintenance and availability services; implementation services; managed mobility services; monitoring and advanced analytics; and store life-cycle management services. Diebold Nixdorf, Incorporated has strategic relationship with Accenture. The company was formerly known as Diebold, Incorporated and changed its name to Diebold Nixdorf, Incorporated in December 2016. Diebold Nixdorf, Incorporated was founded in 1859 and is headquartered in North Canton, Ohio.",United States,https://www.dieboldnixdorf.com,7.39,579045632.0,0.0,2018-02-23 01:00:00,15.84,6.74,8.887,buy,2.93,-0.02321,348643.0,0.0,DBD
679,Designer Brands Inc.,DBI,NYQ,Consumer Cyclical,Apparel Retail,"Designer Brands Inc., together with its subsidiaries, designs, manufactures, and retails footwear and accessories for women, men, and kids primarily in North America. The company operates through three segments: U.S. Retail, Canada Retail, and Brand Portfolio. It also provides dress, casual, and athletic footwear; and handbags and jewelry. The company offers its products under the Vince Camuto, Louise et Cie, Jessica Simpson, Lucky, Jenifer Lopez, and other brands. It also operates vincecamuto.com e-commerce site, as well as a portfolio of banners, including DSW Designer Shoe Warehouse, The Shoe Company, and Shoe Warehouse. As of February 1, 2021, it operated 663 stores. Designer Brands Inc. was founded in 1991 and is based in Columbus, Ohio.",United States,https://www.designerbrands.com,12.77,936729408.0,0.0,2020-03-27 01:00:00,20.48,11.24,13.1072,hold,1.132,0.0020299999,729696.0,0.0,DBI
680,DoubleLine Opportunistic Credit,DBL,NYQ,Financial Services,Asset Management,"DoubleLine Opportunistic Credit Fund is a close-ended fixed income mutual fund launched and managed by DoubleLine Capital LP. The fund invests in the fixed income markets. It invests in debt securities including residential and commercial mortgage-backed securities, asset-backed securities, U.S Government securities, corporate debt, international sovereign debt, and short-term investments.The fund benchmarks the performance of its portfolio against the Barclays Capital U.S. Aggregate Bond Index. DoubleLine Opportunistic Credit Fund was formed on July 22, 2011 and is domiciled in the United States.",United States,https://www.doubleline.com/opp-credit-fund-overview.php,17.1,263304096.0,1.32,2022-03-16 01:00:00,20.32,16.75,17.9208,none,0.0,0.0,77763.0,0.07719298245614035,DBL
681,"DigitalBridge Group, Inc.",DBRG,NYQ,Real Estate,REIT—Diversified,"DigitalBridge (NYSE: DBRG) is a leading global digital infrastructure REIT. With a heritage of over 25 years investing in and operating businesses across the digital ecosystem including towers, data centers, fiber, small cells, and edge infrastructure, the DigitalBridge team manages a $35 billion portfolio of digital infrastructure assets on behalf of its limited partners and shareholders. DigitalBridge, structured as a REIT, is headquartered in Boca Raton with key offices in Los Angeles, New York, London and Singapore. For more information on DigitalBridge, visit www.digitalbridge.com.",United States,https://www.clny.com,6.81,3864504832.0,0.0,2020-03-30 02:00:00,8.695,5.53,7.342,buy,2.814,-0.26305,1399430.0,0.0,DBRG
682,Dreyfus Alcentra Global Credit ,DCF,NYQ,,,nan,United States,nan,8.31,124482144.0,0.6,2022-02-09 01:00:00,9.99,8.13,8.9333,none,0.0,0.0,33777.0,0.07220216606498195,DCF
683,"Donaldson Company, Inc.",DCI,NYQ,Industrials,Specialty Industrial Machinery,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. The company operates through two segments, Engine Products and Industrial Products. Its Engine Products segment provides replacement filters for air and liquid filtration applications; air filtration systems; liquid filtration systems for fuel, lube, and hydraulic applications; exhaust and emissions systems and sensors; indicators; and monitoring systems. This segment sells its products to original equipment manufacturers (OEMs) in the construction, mining, agriculture, aerospace, defense, and transportation markets; and to independent distributors, OEM dealer networks, private label accounts, and large fleets. The company's Industrial Products segment offers dust, fume, and mist collectors; compressed air purification systems; gas and liquid filtration for food, beverage, and industrial processes; air filtration systems for gas turbines; polytetrafluoroethylene membrane-based products; and specialized air and gas filtration systems for applications, including hard disk drives, semi-conductor manufacturing and sensors, indicators, and monitoring systems. This segment sells its products to various dealers, distributors, OEMs of gas-fired turbines, and OEMs and end-users requiring air filtration solutions and replacement filters. Donaldson Company, Inc. was founded in 1915 and is headquartered in Bloomington, Minnesota.",United States,https://www.donaldson.com,52.02,6426134528.0,0.88,2021-12-06 01:00:00,69.35,48.52,54.8748,buy,1.625,0.10144,209424.0,0.016916570549788543,DCI
684,Ducommun Incorporated,DCO,NYQ,Industrials,Aerospace & Defense,"Ducommun Incorporated provides engineering and manufacturing products and services primarily to the aerospace and defense, industrial, medical, and other industries in the United States. It operates through two segments, Electronic Systems and Structural Systems. The Electronic Systems segment provides cable assemblies and interconnect systems; printed circuit board assemblies; higher-level electronic, electromechanical, and mechanical components and assemblies, as well as lightning diversion systems; and radar enclosures, aircraft avionics racks, shipboard communications and control enclosures, shipboard communications and control enclosures, wire harnesses, surge suppressors, conformal shields, and other assemblies. It also supplies engineered products, including illuminated pushbutton switches and panels for aviation and test systems; microwave and millimeter switches and filters for radio frequency systems and test instrumentation; and motors and resolvers for motion control. In addition, this segment provides engineering expertise for aerospace system design, development, integration, and testing. The Structural Systems segment designs, engineers, and manufactures contoured aluminum, titanium, and Inconel aero structure components; structural assembly products, such as winglets, engine components, and fuselage structural panels; and metal and composite bonded structures and assemblies comprising aircraft wing spoilers, large fuselage skins, rotor blades on rotary-wing aircraft and components, flight control surfaces, engine components, and ammunition handling systems. It serves commercial aircraft, military fixed-wing aircraft, military and commercial rotary-wing aircraft, and space programs, as well as industrial, medical, and other end-use markets. The company was founded in 1849 and is headquartered in Santa Ana, California.",United States,https://www.ducommun.com,51.86,618337152.0,0.0,2011-02-16 01:00:00,65.4,40.82,46.4476,buy,0.753,0.05382,20015.0,0.0,DCO
685,"DCP Midstream,  LP",DCP,NYQ,Energy,Oil & Gas Midstream,"DCP Midstream, LP, together with its subsidiaries, owns, operates, acquires, and develops a portfolio of midstream energy assets in the United States. The company operates through Logistics and Marketing, and Gathering and Processing. The Logistics and Marketing segment engages in transporting, trading, marketing, and storing natural gas and natural gas liquids (NGLs); and fractionating NGLs. The Gathering and Processing segment is involved in gathering, compressing, treating, and processing natural gas; producing and fractionating NGLs; and recovering condensate. The company owns and operates approximately 35 natural gas processing plants. It serves petrochemical and refining companies, and retail propane distributors. The company was formerly known as DCP Midstream Partners, LP and changed its name to DCP Midstream, LP in January 2017.DCP Midstream, LP was incorporated in 2005 and is headquartered in Denver, Colorado.",United States,https://www.dcpmidstream.com,30.49,6353323008.0,1.56,2022-02-03 01:00:00,36.71,20.26,30.264,buy,0.029,0.03453,141991.0,0.05116431616923582,DCP
686,"Dominion Energy, Inc. 2019 Seri",DCUE,NYQ,Utilities,Utilities—Regulated Electric,"Dominion Energy, Inc. produces and distributes energy. The company operates through four segments: Dominion Energy Virginia, Gas Distribution, Dominion Energy South Carolina, and Contracted Assets. The Dominion Energy Virginia segment generates, transmits, and distributes regulated electricity to residential, commercial, industrial, and governmental customers in Virginia and North Carolina. The Gas Distribution segment engages in the regulated natural gas gathering, transportation, distribution, and sales activities, as well as distributes nonregulated renewable natural gas. This segment serves residential, commercial, and industrial customers. The Dominion Energy South Carolina segment generates, transmits, and distributes electricity and natural gas to residential, commercial, and industrial customers in South Carolina. The Contracted Assets segment is involved in the energy marketing and price risk activities. As of December 31, 2020, the company's portfolio of assets included approximately 30.2 gigawatt of electric generating capacity; 10,500 miles of electric transmission lines; 85,600 miles of electric distribution lines; and 94,200 miles of gas distribution lines. It serves approximately 7 million customers. The company sells electricity at wholesale prices to rural electric cooperatives and municipalities, as well as into wholesale electricity markets. The company was formerly known as Dominion Resources, Inc. and changed its name to Dominion Energy, Inc. in May 2017. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia.",United States,https://www.dominionenergy.com,99.75,60105555968.0,7.25,2021-02-25 01:00:00,105.25,94.4,100.77996,none,0.222,0.19323999,12427.0,0.07268170426065163,DCUE
687,"DuPont de Nemours, Inc.",DD,NYQ,Basic Materials,Specialty Chemicals,"DuPont de Nemours, Inc. provides technology-based materials, ingredients, and solutions in the United States, Canada, the Asia Pacific, Latin America, Europe, the Middle East, and Africa. The company's Electronics & Imaging segment supplies materials to manufacture photovoltaics and solar cells; materials and printing systems to the advanced printing industry; and materials and solutions for the fabrication of semiconductors and integrated circuits addressing front-end and back-end of the manufacturing process. This segment also provides semiconductor and advanced packaging materials; dielectric and metallization solutions for chip packaging; and silicones for light emitting diode packaging and semiconductor applications; permanent and process chemistries for the fabrication of printed circuit boards to include laminates and substrates, electroless, and electrolytic metallization solutions, as well as patterning solutions, and materials and metallization processes for metal finishing, decorative, and industrial applications. In addition, it offers various materials to manufacture rigid and flexible displays for liquid crystal displays, advanced-matrix organic light emitting diode, and quantum dot applications. The Transportation & Advanced Polymers segment provides engineering resins, adhesives, silicones, lubricants, and parts to engineers and designers in the transportation, electronics, healthcare, industrial, and consumer end-markets. Its Safety & Construction segment provides engineered products and integrated systems for worker safety, water purification and separation, aerospace, energy, medical packaging, and building materials. The company was formerly known as DowDuPont Inc. and changed its name to DuPont de Nemours, Inc. in June 2019. DuPont de Nemours, Inc. is based in Wilmington, Delaware.",United States,https://www.dupont.com,73.93,38303428608.0,1.2,2021-11-29 01:00:00,86.28,66.37,78.107,buy,3.223,0.29224002,1243183.0,0.016231570404436627,DD
688,3D Systems Corporation,DDD,NYQ,Technology,Computer Hardware,"3D Systems Corporation, through its subsidiaries, provides 3D printing and digital manufacturing solutions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company offers 3D printers, such as stereolithography, selective laser sintering, direct metal printing, multi jet printing, and color jet printers that transform digital data input generated by 3D design software, computer aided design (CAD) software, or other 3D design tools into printed parts under the Accura, DuraForm, LaserForm, CastForm, and VisiJet brand names. It also develops, blends, and markets various print materials, such as plastic, nylon, metal, composite, elastomeric, wax, polymeric dental, and Class IV bio-compatible materials. In addition, the company provides digital design tools, including software, scanners, and haptic devices, as well as solutions for product design, mold and die design, 3D scan-to-print, reverse engineering, production machining, metrology, and inspection under the Geomagic brand. Further, it offers 3D Sprint and 3DXpert, a proprietary software to prepare and optimize CAD data and manage the additive manufacturing processes, which provides automated support building and placement, build platform management, and print queue management; and 3D virtual reality simulators and simulator modules for medical applications under the Simbionix brand, and digitizing scanners for medical and mechanical applications. Additionally, the company provides warranty, maintenance, and training services; on-demand manufacturing solutions; and software and precision healthcare services. It primarily serves companies and small and midsize businesses in medical, dental, automotive, aerospace, durable good, government, defense, technology, jewelry, electronic, education, consumer good, energy, and other industries through direct sales force, as well as partner channels and distributors. The company was founded in 1986 and is headquartered in Rock Hill, South Carolina.",United States,https://www.3dsystems.com,14.69,1886915712.0,0.0,nan,41.48,13.33,17.6978,hold,3.936,0.48386002,762169.0,0.0,DDD
689,Delaware Investments Dividend &,DDF,NYQ,Financial Services,Asset Management,"Delaware Investments Dividend and Income Fund, Inc. is a closed-ended equity mutual fund launched by Delaware Management Holdings, Inc. It is managed by Delaware Management Company. The fund invests in public equity markets of the United States. It seeks to invest in stocks of companies operating across diversified sectors. The fund primarily invests in dividend paying value stocks of large cap companies. It benchmarks the performance of its portfolio against the S&P 500 Index and the Lipper Closed-End Income and Preferred Stock Funds Average. Delaware Investments Dividend and Income Fund, Inc. was formed on March 26, 1993 and is domiciled in the United States.",United States,https://www.delawarefunds.com/closed-end/products/delaware-investments-dividend-and-income-fund-inc#tab_tab3,10.46,79612736.0,0.82,2022-02-17 01:00:00,12.19,9.85,11.0632,none,0.0,4.01193,6524.0,0.07839388145315486,DDF
690,Dingdong (Cayman) Limited,DDL,NYQ,Consumer Defensive,Grocery Stores,"Dingdong (Cayman) Limited operates an e-commerce company in China. It offers vegetables, fresh produce, meat and eggs, fruits, and seafood products, as well as ready-to-eat, ready-to-cook, and ready-to-heat products; and dairy and bakery products, oil and seasonings, prepared meals, rice, noodles and other wheaten products, pre-packaged foods, drinks and liquor, flowers and green plants, and home care and personal care products. The company operates as a self-operated online retail business primarily through Dingdong Fresh. Dingdong (Cayman) Limited was founded in 2017 and is headquartered in Shanghai, China.",China,https://www.100.me,3.955,933581696.0,0.0,nan,46.0,2.51,6.6816,buy,31.49,-0.36903998,3857745.0,0.0,DDL
691,"Dillard's, Inc.",DDS,NYQ,Consumer Cyclical,Department Stores,"Dillard's, Inc. operates retail department stores in the southeastern, southwestern, and midwestern areas of the United States. Its stores offer merchandise, including fashion apparel for women, men, and children; and accessories, cosmetics, home furnishings, and other consumer goods. As of January 30, 2021, the company operated 282 Dillard's stores, including 32 clearance centers, and an Internet store at dillards.com. It also engages in the general contracting construction activities. The company was founded in 1938 and is based in Little Rock, Arkansas.",United States,https://www.dillards.com,272.78,5301260800.0,0.8,2021-12-30 01:00:00,416.71,83.62,252.9192,underperform,31.888,0.09996,121243.0,0.0029327663318425108,DDS
692,Dillard's Capital Trust I,DDT,NYQ,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,28.2,25.32,26.4362,nan,0.0,0.0,7398.0,,DDT
